name,Category,energy_kcal,weight_g,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,energy_per_100g,protein_per_100g,fat_per_100g,sodium_per_100g,nutrition_desnity
Taoge Kacang Tunggak Segar,Traditional,40,1,5,5.8,0.2,0,2,2.6,1.86,8.33,1.78,0.3,0.13,4000,500,20,200,0.19
Kura-Kura Segar,Traditional,83,0.7,19.1,0,0.2,0,0,0,3.86,31.83,0,0.3,0,11857.14,2728.57,28.57,0,0.2301
Petis Ikan,Traditional,165,3,20,20.8,0.2,0,0,0,7.67,33.33,6.4,0.3,0,5500,666.67,6.67,0,0.1212
Lontong,Traditional,144,1.2,2.76,31.76,0.23,0.12,0,1.2,6.7,4.6,9.77,0.34,0,12000,230,19.17,0,0.0275
Jeruk Kalamansi Segar,Traditional,39,0.4,0.3,8.9,0.3,0,3,2.3,1.81,0.5,2.74,0.45,0.2,9750,75,75,750,0.0667
Rujak Aceh,Traditional,82,0.9,0.4,19.7,0.3,0,0,2.4,3.81,0.67,6.06,0.45,0,9111.11,44.44,33.33,0,0.0341
Sagu Singkong Kering,Traditional,362,0.3,0.5,86.9,0.3,0,0,0,16.84,0.83,26.74,0.45,0,120666.67,166.67,100,0,0.0014
Bihun Jagung Mentah,Traditional,354,0.5,0.5,87.4,0.3,0,49,3,16.47,0.83,26.89,0.45,3.27,70800,100,60,9800,0.0099
Gadung Kukus,Traditional,88,0.8,0.6,20.9,0.3,0,6,0.9,4.09,1,6.43,0.45,0.4,11000,75,37.5,750,0.017
Jeruk Garut-Keprok,Traditional,44,0.7,0.8,10.9,0.3,0,5,1.6,2.05,1.33,3.35,0.45,0.33,6285.71,114.29,42.86,714.29,0.0545
Buah Rukam Segar,Traditional,113,0.8,0.8,26.8,0.3,0,2,7.7,5.26,1.33,8.25,0.45,0.13,14125,100,37.5,250,0.0752
Sagu Lempeng,Traditional,347,0.1,0.9,85.2,0.3,0,11,4.7,16.14,1.5,26.22,0.45,0.73,347000,900,300,11000,0.0161
Gadung  Ubi Segar,Traditional,100,0.9,0.9,23.5,0.3,0,8,2.1,4.65,1.5,7.23,0.45,0.53,11111.11,100,33.33,888.89,0.03
Jambu Biji Putih Tidak Berbiji,Traditional,61,0.6,0.9,15.4,0.3,0,20,4.5,2.84,1.5,4.74,0.45,1.33,10166.67,150,50,3333.33,0.0885
Ketela Pohon / Singkong Segar,Traditional,154,0.5,1,36.8,0.3,0,2,0.9,7.16,1.67,11.32,0.45,0.13,30800,200,60,400,0.0123
Lengkuas/Boros Laja Segar,Traditional,26,1,1,4.7,0.3,0,24,1.1,1.21,1.67,1.45,0.45,1.6,2600,100,30,2400,0.0808
Sirsak,Traditional,65,0.7,1,16.3,0.3,0,2,3.2,3.02,1.67,5.02,0.45,0.13,9285.71,142.86,42.86,285.71,0.0646
Lumai / Leunca Segar,Traditional,38,0.5,1.1,7.6,0.3,0,2,2,1.77,1.83,2.34,0.45,0.13,7600,220,60,400,0.0816
Pisang Ketip Segar,Traditional,145,0.7,1.1,34.5,0.3,0,4,6.6,6.74,1.83,10.62,0.45,0.27,20714.29,157.14,42.86,571.43,0.0531
Ketela Pohon Kukus,Traditional,153,0.6,1.2,36.4,0.3,0,2,1.3,7.12,2,11.2,0.45,0.13,25500,200,50,333.33,0.0163
Nangka Masak Pohon Segar,Traditional,106,2.7,1.2,27.6,0.3,0,2,3.7,4.93,2,8.49,0.45,0.13,3925.93,44.44,11.11,74.07,0.0462
Batatas Kelapa Kukus,Traditional,92,1.8,1.2,21,0.3,0,10,4.1,4.28,2,6.46,0.45,0.67,5111.11,66.67,16.67,555.56,0.0576
Jantung Pisang Segar,Traditional,32,1.2,1.2,7.1,0.3,0,3,3.2,1.49,2,2.18,0.45,0.2,2666.67,100,25,250,0.1375
Pisang Raja Sereh Segar,Traditional,108,1,1.3,28.2,0.3,0,31,0.7,5.02,2.17,8.68,0.45,2.07,10800,130,30,3100,0.0185
Tapai Singkong,Traditional,169,0.7,1.4,40.2,0.3,0,0,2,7.86,2.33,12.37,0.45,0,24142.86,200,42.86,0,0.0201
Kelawi Kluwih Segar,Traditional,118,1,1.5,27.2,0.3,0,2,5,5.49,2.5,8.37,0.45,0.13,11800,150,30,200,0.0551
Talas Bogor Kukus,Traditional,120,0.8,1.5,28.2,0.3,0,11,0.7,5.58,2.5,8.68,0.45,0.73,15000,187.5,37.5,1375,0.0183
Bawang Merah Segar,Traditional,46,1,1.5,9.2,0.3,0,7,1.7,2.14,2.5,2.83,0.45,0.47,4600,150,30,700,0.0696
Rica-Rica Taipa,Traditional,49,1.4,1.6,10,0.3,0,426,0,2.28,2.67,3.08,0.45,28.4,3500,114.29,21.43,30428.57,0.0327
Ubi Jalar Merah Segar,Traditional,151,0.6,1.6,35.4,0.3,0,92,0.7,7.02,2.67,10.89,0.45,6.13,25166.67,266.67,50,15333.33,0.0152
Beras Tapai,Traditional,99,0.1,1.7,22.4,0.3,0,26,0,4.6,2.83,6.89,0.45,1.73,99000,1700,300,26000,0.0172
Kapurung,Traditional,41,0.6,2,7.8,0.3,0,185,2,1.91,3.33,2.4,0.45,12.33,6833.33,333.33,50,30833.33,0.0976
Daun Bawang Merah Segar,Traditional,41,0.8,2,7.8,0.3,0,30,2.1,1.91,3.33,2.4,0.45,2,5125,250,37.5,3750,0.1
Lantar Segar,Traditional,34,0.8,2.2,5.5,0.3,0,3,2.9,1.58,3.67,1.69,0.45,0.2,4250,275,37.5,375,0.15
Kucai Segar,Traditional,45,0.9,2.2,10.3,0.3,0,21,4.8,2.09,3.67,3.17,0.45,1.4,5000,244.44,33.33,2333.33,0.1556
Sawi Hijau Segar,Traditional,28,1.2,2.3,4,0.3,0,22,2.5,1.3,3.83,1.23,0.45,1.47,2333.33,191.67,25,1833.33,0.1714
Bentul Kukus,Traditional,71,0.9,2.3,15.4,0.3,0,0,0.5,3.3,3.83,4.74,0.45,0,7888.89,255.56,33.33,0,0.0394
Buncis Segar,Traditional,34,0.5,2.4,7.2,0.3,0,8,1.9,1.58,4,2.22,0.45,0.53,6800,480,60,1600,0.1265
Umbut Rotan,Traditional,34,1.3,2.4,5.5,0.3,0,8,2.2,1.58,4,1.69,0.45,0.53,2615.38,184.62,23.08,615.38,0.1353
Bunga Pepaya Segar,Traditional,45,1.7,2.6,8.1,0.3,0,2,1.6,2.09,4.33,2.49,0.45,0.13,2647.06,152.94,17.65,117.65,0.0933
Daun Tespong Segar,Traditional,70,1.9,2.9,13.9,0.3,0,72,2.3,3.26,4.83,4.28,0.45,4.8,3684.21,152.63,15.79,3789.47,0.0743
Nasi / Nasi Putih,Traditional,180,0.2,3,39.8,0.3,0,1,0.2,8.37,5,12.25,0.45,0.07,90000,1500,150,500,0.0178
Apang Kukus Kue,Traditional,202,0.5,3,46.7,0.3,0,0,0,9.4,5,14.37,0.45,0,40400,600,60,0,0.0149
Koro Wedus / Polong,Traditional,46,0.8,3,7.9,0.3,0,2,3.3,2.14,5,2.43,0.45,0.13,5750,375,37.5,250,0.137
Daun Gandaria Segar,Traditional,63,1.6,3.1,14,0.3,0,3,2.1,2.93,5.17,4.31,0.45,0.2,3937.5,193.75,18.75,187.5,0.0825
Daun Kacang Panjang Segar,Traditional,30,1.1,3.1,5.8,0.3,0,7,1.7,1.4,5.17,1.78,0.45,0.47,2727.27,281.82,27.27,636.36,0.16
Bantal,Traditional,190,0.6,3.3,43.5,0.3,0,164,3.4,8.84,5.5,13.38,0.45,10.93,31666.67,550,50,27333.33,0.0353
Daun Kedongdong Segar,Traditional,59,1.8,3.5,13.4,0.3,0,12,10.7,2.74,5.83,4.12,0.45,0.8,3277.78,194.44,16.67,666.67,0.2407
Daun Mangkokan Segar,Traditional,57,2.2,3.7,11.8,0.3,0,0,0,2.65,6.17,3.63,0.45,0,2590.91,168.18,13.64,0,0.0649
Jengkol Segar,Traditional,192,0.9,5.4,40.7,0.3,0,60,1.5,8.93,9,12.52,0.45,4,21333.33,600,33.33,6666.67,0.0359
Daun Kemang Segar,Traditional,43,1.7,5.5,7.5,0.3,0,10,8.4,2,9.17,2.31,0.45,0.67,2529.41,323.53,17.65,588.24,0.3233
Lamtoro Biji Muda Segar,Traditional,85,1.2,5.7,15.4,0.3,0,35,10.8,3.95,9.5,4.74,0.45,2.33,7083.33,475,25,2916.67,0.1941
Kabau Segar,Traditional,130,0.6,6.7,25.2,0.3,0,1,2.9,6.05,11.17,7.75,0.45,0.07,21666.67,1116.67,50,166.67,0.0738
Ikan Hiu Segar,Traditional,57,1.1,10.7,2.2,0.3,0,0,0,2.65,17.83,0.68,0.45,0,5181.82,972.73,27.27,0,0.1877
Burung Sarang Segar,Traditional,281,5.3,37.5,32.1,0.3,0,0,0,13.07,62.5,9.88,0.45,0,5301.89,707.55,5.66,0,0.1335
Prunes (Kering),Traditional,240,7.1,2.18,63.88,0.38,0,0,7.1,11.16,3.63,19.66,0.57,0,3380.28,30.7,5.35,0,0.0387
Kurma,Traditional,282,20.53,2.45,75.03,0.39,0,2,7.99,13.12,4.08,23.09,0.58,0.13,1373.6,11.93,1.9,9.74,0.037
Mie Sagu,Traditional,190,0.1,0.2,46.5,0.4,0,10,1.4,8.84,0.33,14.31,0.6,0.67,190000,200,400,10000,0.0084
Sirup Pirous,Olahan/Brand,228,0.2,0.2,55.9,0.4,0,3,0,10.6,0.33,17.2,0.6,0.2,114000,100,200,1500,0.0009
Apel Segar,Traditional,58,0.3,0.3,14.9,0.4,0,2,2.6,2.7,0.5,4.58,0.6,0.13,19333.33,100,133.33,666.67,0.05
Belimbing Segar,Traditional,36,0.4,0.4,8.8,0.4,0,4,3.2,1.67,0.67,2.71,0.6,0.27,9000,100,100,1000,0.1
Ubi Jalar Putih Segar,Traditional,88,0.8,0.4,20.6,0.4,0,2,4,4.09,0.67,6.34,0.6,0.13,11000,50,50,250,0.05
Ubi Jalar Kuning Segar,Traditional,119,1,0.5,25.1,0.4,0,3,4.2,5.53,0.83,7.72,0.6,0.2,11900,50,40,300,0.0395
Ubi Jalar Tinta / Kemayung,Traditional,108,1,0.5,25.6,0.4,0,1,4.2,5.02,0.83,7.88,0.6,0.07,10800,50,40,100,0.0435
Apel Malang Segar,Traditional,57,0.3,0.5,12.8,0.4,0,3.6,0.8,2.65,0.83,3.94,0.6,0.24,19000,166.67,133.33,1200,0.0228
Kesemek Segar,Traditional,78,0.6,0.8,20,0.4,0,0,0.6,3.63,1.33,6.15,0.6,0,13000,133.33,66.67,0,0.0179
Salak Pondoh,Traditional,87,0.8,0.8,20.1,0.4,0,0,0,4.05,1.33,6.18,0.6,0,10875,100,50,0,0.0092
Bayam Sayur Bayam Segar,Traditional,16,1.3,0.9,2.9,0.4,0,16,0.7,0.74,1.5,0.89,0.6,1.07,1230.77,69.23,30.77,1230.77,0.1
Kentang Hitam Segar,Traditional,142,1,0.9,33.7,0.4,0,22,5.4,6.6,1.5,10.37,0.6,1.47,14200,90,40,2200,0.0444
Paria Putih Segar,Traditional,19,0.6,1,3.6,0.4,0,5,1.3,0.88,1.67,1.11,0.6,0.33,3166.67,166.67,66.67,833.33,0.1211
Lema / Rebung Asam,Traditional,15,0.4,1,1.9,0.4,0,3,0,0.7,1.67,0.58,0.6,0.2,3750,250,100,750,0.0667
Getuk Pisang,Traditional,144,0.7,1.1,34.1,0.4,0,0,0.4,6.7,1.83,10.49,0.6,0,20571.43,157.14,57.14,0,0.0104
Akar Tonjong Segar,Traditional,45,1,1.1,10.8,0.4,0,96,1.2,2.09,1.83,3.32,0.6,6.4,4500,110,40,9600,0.0511
Belitung Talas Segar,Traditional,145,1.1,1.2,34.2,0.4,0,6,1.5,6.74,2,10.52,0.6,0.4,13181.82,109.09,36.36,545.45,0.0186
Belitung Kukus,Traditional,145,1.1,1.2,34.2,0.4,0,7,1,6.74,2,10.52,0.6,0.47,13181.82,109.09,36.36,636.36,0.0152
Talas Bogor Segar,Traditional,108,0.8,1.4,25,0.4,0,10,0.9,5.02,2.33,7.69,0.6,0.67,13500,175,50,1250,0.0213
Kerokot Segar,Traditional,26,1.1,1.7,3.8,0.4,0,4,1,1.21,2.83,1.17,0.6,0.27,2363.64,154.55,36.36,363.64,0.1038
Kerupuk Kemplang (Ikan) Mentah,Traditional,325,5.1,1.8,78.5,0.4,0,1123,4.5,15.12,3,24.15,0.6,74.87,6372.55,35.29,7.84,22019.61,0.0194
Saos Tomat,Traditional,110,3.6,2,24.5,0.4,0,890,0.9,5.12,3.33,7.54,0.6,59.33,3055.56,55.56,11.11,24722.22,0.0264
Terong Asam Segar,Traditional,37,0.8,2,6.3,0.4,0,3,3.2,1.72,3.33,1.94,0.6,0.2,4625,250,50,375,0.1405
Daun Lobak Segar,Traditional,30,1.4,2.3,5.8,0.4,0,16,3.2,1.4,3.83,1.78,0.6,1.07,2142.86,164.29,28.57,1142.86,0.1833
Tepung Gaplek,Olahan/Brand,345,1.1,2.4,83.1,0.4,0,6,6.7,16.05,4,25.57,0.6,0.4,31363.64,218.18,36.36,545.45,0.0264
Nasi Merah,Traditional,149,0.3,2.8,32.5,0.4,0,5,0.3,6.93,4.67,10,0.6,0.33,49666.67,933.33,133.33,1666.67,0.0208
Ketan Putih Matang,Traditional,163,0.2,3,35.7,0.4,0,8,0.2,7.58,5,10.98,0.6,0.53,81500,1500,200,4000,0.0196
Cempedak Segar,Traditional,116,1,3,28.6,0.4,0,25,3.4,5.4,5,8.8,0.6,1.67,11600,300,40,2500,0.0552
Brem,Traditional,249,0.9,3.4,58,0.4,0,0,0,11.58,5.67,17.85,0.6,0,27666.67,377.78,44.44,0,0.0137
Nasi Tim,Traditional,120,0.2,3.4,26,0.4,0,0,0.5,5.58,5.67,8,0.6,0,60000,1700,200,0,0.0325
Daun Labu Siam Segar,Traditional,34,1.2,4,4.7,0.4,0,16,3.5,1.58,6.67,1.45,0.6,1.07,2833.33,333.33,33.33,1333.33,0.2206
Pucuk Lumai / Daun Leunca Segar,Traditional,33,1.3,4.5,2.8,0.4,0,2,0,1.53,7.5,0.86,0.6,0.13,2538.46,346.15,30.77,153.85,0.1364
Daun Pakis Segar,Traditional,39,1.4,4.5,6.9,0.4,0,20,2,1.81,7.5,2.12,0.6,1.33,2785.71,321.43,28.57,1428.57,0.1667
Tebu Terubuk (Lilin) Segar,Traditional,30,1,4.6,3,0.4,0,699,0.8,1.4,7.67,0.92,0.6,46.6,3000,460,40,69900,0.18
Kue Koa,Traditional,340,1,4.8,79.3,0.4,0,0,0,15.81,8,24.4,0.6,0,34000,480,40,0,0.0141
Masakan Sukiyaki,Traditional,75,0.8,5.6,12.2,0.4,0,426,0.2,3.49,9.33,3.75,0.6,28.4,9375,700,50,53250,0.0773
Kacang Kapri Segar,Traditional,98,0.9,6.7,17.7,0.4,0,6,6.2,4.56,11.17,5.45,0.6,0.4,10888.89,744.44,44.44,666.67,0.1316
Beras Tumbuk Mentah,Traditional,354,0.4,7.8,79.9,0.4,0,5,3.8,16.47,13,24.58,0.6,0.33,88500,1950,100,1250,0.0328
Makaroni Mentah,Traditional,353,2.5,8.7,78.7,0.4,0,5,4.9,16.42,14.5,24.22,0.6,0.33,14120,348,16,200,0.0385
Pisang Kepok Rebus,Traditional,145,1.55,1.55,37.91,0.44,0,5,0,6.74,2.58,11.66,0.66,0.33,9354.84,100,28.39,322.58,0.0107
Chatime Mango Smoothie,Olahan/Brand,228,0.5,0.5,55.5,0.5,54,0,0,10.6,0.83,17.08,0.75,0,45600,100,100,0,0.0022
Wortel Rebus,Traditional,28,0.4,0.7,6.3,0.5,0,41,0.8,1.3,1.17,1.94,0.75,2.73,7000,175,125,10250,0.0536
Mangga Kwini Segar,Traditional,86,0.4,0.7,19.8,0.5,0,1,6.5,4,1.17,6.09,0.75,0.07,21500,175,125,250,0.0837
Pisang Kepok Segar,Traditional,109,1,0.8,26.3,0.5,0,10,5.7,5.07,1.33,8.09,0.75,0.67,10900,80,50,1000,0.0596
Honey Stars,Olahan/Brand,110,1,1,25,0.5,8,0,1,5.12,1.67,7.69,0.75,0,11000,100,50,0,0.0182
Bamboe Soto Daging,Olahan/Brand,5,1,1,2,0.5,1,730,1,0.93,1.67,0.62,0.75,48.67,500,100,50,73000,0.4
Saus Hoisin,Olahan/Brand,100,1,1,22,0.5,21,0,1,4.65,1.67,6.77,0.75,0,10000,100,50,0,0.02
Gilus Mix Sensasi Aroma Pandan (Isi 10 Sachet),Olahan/Brand,90,1,1,21,0.5,17,0,0,4.19,1.67,6.46,0.75,0,9000,100,50,0,0.0111
Gilus Mix Aroma Vanila (Isi 10 Sachet),Olahan/Brand,90,1,1,21,0.5,17,0,0,4.19,1.67,6.46,0.75,0,9000,100,50,0,0.0111
Tepung Singkong / Tapioka,Olahan/Brand,363,1.1,1.1,88.2,0.5,0,1,0.9,16.88,1.83,27.14,0.75,0.07,33000,100,45.45,90.91,0.0055
Srikaya,Traditional,63,1.1,1.1,13.9,0.5,0,0,2.1,2.93,1.83,4.28,0.75,0,5727.27,100,45.45,0,0.0508
Hofa / Ubi Hutan Segar,Traditional,127,0.9,1.2,29.5,0.5,0,3,3.4,5.91,2,9.08,0.75,0.2,14111.11,133.33,55.56,333.33,0.0362
Markisa Squash Bd,Traditional,104,0.2,1.2,23.7,0.5,0,40,0,4.84,2,7.29,0.75,2.67,52000,600,250,20000,0.0115
Tomat Merah Segar,Traditional,24,0.6,1.3,4.7,0.5,0,10,1.5,1.12,2.17,1.45,0.75,0.67,4000,216.67,83.33,1666.67,0.1167
Daun Ndusuk Segar,Traditional,166,3,1.7,38.8,0.5,0,40,10.7,7.72,2.83,11.94,0.75,2.67,5533.33,56.67,16.67,1333.33,0.0747
Labu Kuning Segar,Traditional,51,1.2,1.7,10,0.5,0,280,2.7,2.37,2.83,3.08,0.75,18.67,4250,141.67,41.67,23333.33,0.0863
Daun Bluntas Segar,Traditional,44,2.3,1.8,9.4,0.5,0,0,0,2.05,3,2.89,0.75,0,1913.04,78.26,21.74,0,0.0409
Talas Viqueque Segar,Traditional,115,1.2,1.8,25.9,0.5,0,1,8.6,5.35,3,7.97,0.75,0.07,9583.33,150,41.67,83.33,0.0904
Apem Kue,Traditional,148,0.5,2,33.9,0.5,0,0,0,6.88,3.33,10.43,0.75,0,29600,400,100,0,0.0135
Coco Pops,Traditional,120,1,2,26,0.5,12,0,1,5.58,3.33,8,0.75,0,12000,200,50,0,0.025
Nestle Corn Flakes,Olahan/Brand,110,2,2,24,0.5,0,0,0,5.12,3.33,7.38,0.75,0,5500,100,25,0,0.0182
Nestle Sereal Corn Flakes,Traditional,110,2,2,24,0.5,0,180,0,5.12,3.33,7.38,0.75,12,5500,100,25,9000,0.0182
Froot Loops,Traditional,120,3,2,26,0.5,11,0,3,5.58,3.33,8,0.75,0,4000,66.67,16.67,0,0.0417
Daun Kol Sawi Segar,Traditional,22,0.7,2.1,3.6,0.5,0,19,0.9,1.02,3.5,1.11,0.75,1.27,3142.86,300,71.43,2714.29,0.1364
Talas Pontianak Segar,Traditional,163,0.9,2.3,36.4,0.5,0,14,0.7,7.58,3.83,11.2,0.75,0.93,18111.11,255.56,55.56,1555.56,0.0184
Mostarda Metan-Sawi,Traditional,33,1.1,2.3,4.7,0.5,0,20,1.8,1.53,3.83,1.45,0.75,1.33,3000,209.09,45.45,1818.18,0.1242
Umbi Uwi Segar,Traditional,120,0.9,2.8,82.3,0.5,0,12,2.6,5.58,4.67,25.32,0.75,0.8,13333.33,311.11,55.56,1333.33,0.045
Ketan Putih Tapai,Traditional,172,0.1,3,37.5,0.5,0,1,0.6,8,5,11.54,0.75,0.07,172000,3000,500,1000,0.0209
Daun Kenikir Segar,Traditional,45,1.7,3.7,6.6,0.5,0,6,5.8,2.09,6.17,2.03,0.75,0.4,2647.06,217.65,29.41,352.94,0.2111
Daun Jampang Segar,Traditional,34,1.5,3.8,5.3,0.5,0,0,1.4,1.58,6.33,1.63,0.75,0,2266.67,253.33,33.33,0,0.1529
Daun Selasih Segar,Traditional,62,1.9,4,10.5,0.5,0,3,5.3,2.88,6.67,3.23,0.75,0.2,3263.16,210.53,26.32,157.89,0.15
Daun Semanggi Segar,Traditional,45,1.9,4.4,8.5,0.5,0,64,1.9,2.09,7.33,2.62,0.75,4.27,2368.42,231.58,26.32,3368.42,0.14
Ale Toge Tauge Kecambah Segar,Traditional,37,0.7,4.4,3.8,0.5,0,2,1.7,1.72,7.33,1.17,0.75,0.13,5285.71,628.57,71.43,285.71,0.1649
Daun Jambu Mente Muda Segar,Traditional,78,0.7,4.6,16.2,0.5,0,14,3,3.63,7.67,4.98,0.75,0.93,11142.86,657.14,71.43,2000,0.0974
Daun Leunca Segar,Traditional,49,1.7,4.7,8.1,0.5,0,0,0,2.28,7.83,2.49,0.75,0,2882.35,276.47,29.41,0,0.0959
Daun Kecipir Segar,Traditional,52,1,5,8.5,0.5,0,6,0,2.42,8.33,2.62,0.75,0.4,5200,500,50,600,0.0962
Biokul Plain Yogurt,Olahan/Brand,90,5,5,15,0.5,7,0,0,4.19,8.33,4.62,0.75,0,1800,100,10,0,0.0556
Masakan Sop Daging Sapi,Traditional,49,0.9,5.8,5.3,0.5,0,391,0,2.28,9.67,1.63,0.75,26.07,5444.44,644.44,55.56,43444.44,0.1184
Beras Tepung Mentah,Traditional,353,0.5,7,80,0.5,0,5,2.4,16.42,11.67,24.62,0.75,0.33,70600,1400,100,1000,0.0266
Kacang Hijau Rebus,Traditional,109,1.2,8.7,18.3,0.5,0,447,1.5,5.07,14.5,5.63,0.75,29.8,9083.33,725,41.67,37250,0.0936
Jagung Nasi Mentah,Traditional,357,0.3,8.8,79.5,0.5,0,2,6.2,16.6,14.67,24.46,0.75,0.13,119000,2933.33,166.67,666.67,0.042
Kacang Gude Rebus,Traditional,147,1.5,9,27.5,0.5,0,14,3.4,6.84,15,8.46,0.75,0.93,9800,600,33.33,933.33,0.0844
Masakan Gulai Asam Keueung,Traditional,52,1.7,10,1.8,0.5,0,332,0,2.42,16.67,0.55,0.75,22.13,3058.82,588.24,29.41,19529.41,0.1923
Lamtoro Biji Tua Segar,Traditional,148,1.3,10.6,26.2,0.5,0,28,17,6.88,17.67,8.06,0.75,1.87,11384.62,815.38,38.46,2153.85,0.1865
Kopi Bubuk Instan,Traditional,129,9.7,12.3,35,0.5,0,72,0,6,20.5,10.77,0.75,4.8,1329.9,126.8,5.15,742.27,0.0953
Kerbau Daging Segar,Traditional,79,0.8,18.7,0,0.5,0,91,0,3.67,31.17,0,0.75,6.07,9875,2337.5,62.5,11375,0.2367
Duwet Segar,Traditional,80,0.5,0.5,18.2,0.6,0,16,0.9,3.72,0.83,5.6,0.9,1.07,16000,100,120,3200,0.0175
Jambu Monyet Segar,Traditional,64,0.3,0.7,15.8,0.6,0,12,1.2,2.98,1.17,4.86,0.9,0.8,21333.33,233.33,200,4000,0.0297
Sayur Asem,Traditional,29,0.8,0.7,5,0.6,0,0,0.6,1.35,1.17,1.54,0.9,0,3625,87.5,75,0,0.0448
Wortel Kukus,Traditional,37,0.6,1,8.3,0.6,0,43,1.1,1.72,1.67,2.55,0.9,2.87,6166.67,166.67,100,7166.67,0.0568
Wortelsegar,Traditional,36,0.6,1,7.9,0.6,0,70,1,1.67,1.67,2.43,0.9,4.67,6000,166.67,100,11666.67,0.0556
Sale Kesemek,Traditional,296,1.8,1.1,71.4,0.6,0,0,0,13.77,1.83,21.97,0.9,0,16444.44,61.11,33.33,0,0.0037
Tepung Mocaf,Olahan/Brand,350,1.3,1.2,85,0.6,0,8,6,16.28,2,26.15,0.9,0.53,26923.08,92.31,46.15,615.38,0.0206
Bayam Rebus,Traditional,23,1,1.2,3.7,0.6,0,16,1.1,1.07,2,1.14,0.9,1.07,2300,120,60,1600,0.1
Daun Bangun-Bangun Segar,Traditional,27,1.6,1.3,4,0.6,0,4,1,1.26,2.17,1.23,0.9,0.27,1687.5,81.25,37.5,250,0.0852
Sowa,Traditional,48,10,1.6,9.1,0.6,0,9,45,2.23,2.67,2.8,0.9,0.6,480,16,6,90,0.9708
Buah Nona Segar,Traditional,101,1,1.7,25.2,0.6,0,5,2.8,4.7,2.83,7.75,0.9,0.33,10100,170,60,500,0.0446
Sayur Lebui,Traditional,64,0.9,2.1,12.5,0.6,0,124,5.7,2.98,3.5,3.85,0.9,8.27,7111.11,233.33,66.67,13777.78,0.1219
Gadeng / Gadung Kering,Traditional,322,0.2,2.4,76.6,0.6,0,5,0,14.98,4,23.57,0.9,0.33,161000,1200,300,2500,0.0075
Asam Masak Pohon Segar,Traditional,267,2.7,2.8,62.5,0.6,0,9,1.2,12.42,4.67,19.23,0.9,0.6,9888.89,103.7,22.22,333.33,0.015
Daun Labu Wuluh/Kuning Segar,Traditional,34,1.6,3.6,4.5,0.6,0,16,2.9,1.58,6,1.38,0.9,1.07,2125,225,37.5,1000,0.1912
Ampas Kacang Hijau,Traditional,96,0.6,3.7,19.1,0.6,0,0,2.7,4.47,6.17,5.88,0.9,0,16000,616.67,100,0,0.0667
Kucai Muda (Lokio) Segar,Traditional,42,1.8,3.8,7.8,0.6,0,22,4.9,1.95,6.33,2.4,0.9,1.47,2333.33,211.11,33.33,1222.22,0.2071
Daun Pangi Segar,Traditional,104,1.5,3.9,17.9,0.6,0,4,8.3,4.84,6.5,5.51,0.9,0.27,6933.33,260,40,266.67,0.1173
Tepung Tales Banten,Olahan/Brand,332,5.5,5.7,76.1,0.6,0,7,12.2,15.44,9.5,23.42,0.9,0.47,6036.36,103.64,10.91,127.27,0.0539
Beras Parboiled,Traditional,353,2.5,6.8,80,0.6,0,2,0.5,16.42,11.33,24.62,0.9,0.13,14120,272,24,80,0.0207
Kacang Gude Biji Segar,Traditional,114,2.3,7,20.8,0.6,0,4,4.4,5.3,11.67,6.4,0.9,0.27,4956.52,304.35,26.09,173.91,0.1
Ikan Baronang Segar,Traditional,78,1.2,14.5,3.7,0.6,0,26,0,3.63,24.17,1.14,0.9,1.73,6500,1208.33,50,2166.67,0.1859
Ikan Teri Nasi Kering Mentah,Traditional,144,32.4,32.5,0,0.6,0,312,0,6.7,54.17,0,0.9,20.8,444.44,100.31,1.85,962.96,0.2257
Wajik,Traditional,152,1.99,1.99,34.2,0.68,0,70,0,7.07,3.32,10.52,1.01,4.67,7638.19,100,34.17,3517.59,0.0131
Gatot,Traditional,347,1.4,1.3,83.8,0.7,0,28,5.8,16.14,2.17,25.78,1.04,1.87,24785.71,92.86,50,2000,0.0205
Bayam Kukus,Traditional,30,1.6,1.3,5.8,0.7,0,15,1.2,1.4,2.17,1.78,1.04,1,1875,81.25,43.75,937.5,0.0833
Bentul (Komba) Talas Segar,Traditional,98,1.8,1.6,20.9,0.7,0,0,0.7,4.56,2.67,6.43,1.04,0,5444.44,88.89,38.89,0,0.0235
Tomat Muda Segar,Traditional,24,2,2,3.3,0.7,0,10,1.8,1.12,3.33,1.02,1.04,0.67,1200,100,35,500,0.1583
Daun Jonghe Segar,Traditional,27,1.4,2.1,4.4,0.7,0,0,2,1.26,3.5,1.35,1.04,0,1928.57,150,50,0,0.1519
Sayur Lilin-Terubuk,Traditional,36,1.4,2.7,4.8,0.7,0,30,1.4,1.67,4.5,1.48,1.04,2,2571.43,192.86,50,2142.86,0.1139
Daun Gedi Besar Segar,Traditional,58,2.4,2.9,10,0.7,0,30,3.3,2.7,4.83,3.08,1.04,2,2416.67,120.83,29.17,1250,0.1069
Daun Gedi Kecil Segar,Traditional,61,2,3.2,10.4,0.7,0,20,3.4,2.84,5.33,3.2,1.04,1.33,3050,160,35,1000,0.1082
