name,Category,energy_kcal,weight_g,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,energy_per_100g,protein_per_100g,fat_per_100g,sodium_per_100g,nutrition_desnity
Mie Telur Cap 3 Ayam,Olahan/Brand,230,6,8,49,0,2,0,6,10.7,13.33,15.08,0,0,3833.33,133.33,0,0,0.0609
Starbucks Cappuccino (Nonfat Milk),Olahan/Brand,80,8,8,12,0,0,0,0,3.72,13.33,3.69,0,0,1000,100,0,0,0.1
La Fonte Fettuccine-30 Pasta,Olahan/Brand,0,2,8,45,0,3,40,2,10.23,13.33,13.85,0,2.67,0,400,0,2000,
Pasta La Fonte Spaghetti With Bolognese Sauce,Olahan/Brand,420,6,10,93,0,0,0,6,19.53,16.67,28.62,0,0,7000,166.67,0,0,0.0381
Telur Ayam Ras Bagian Putih Segar,Traditional,50,0.6,10.8,0.8,0,0,164,0,2.33,18,0.25,0,10.93,8333.33,1800,0,27333.33,0.216
Tahubaxo Rebus,Traditional,109,11,11,16,0,0,504,0,5.07,18.33,4.92,0,33.6,990.91,100,0,4581.82,0.1009
Telur Bebek Bagian Putih Segar,Traditional,54,0.2,11,0.8,0,0,184,0,2.51,18.33,0.25,0,12.27,27000,5500,0,92000,0.2037
Starbucks Hot Caffe Latte (Notfat Milk),Olahan/Brand,130,13,13,20,0,0,0,0,6.05,21.67,6.15,0,0,1000,100,0,0,0.1
Ayam Brand Tuna Dalam Air,Olahan/Brand,50,13,13,0,0,0,0,0,2.33,21.67,0,0,0,384.62,100,0,0,0.26
Saus Tomat,Olahan/Brand,17,0.18,0.18,4.66,0.02,3.62,0,0,0.79,0.3,1.43,0.03,0,9444.44,100,11.11,0,0.0106
Espresso,Traditional,3,0.04,0.04,0.49,0.05,0,0,0,0.14,0.07,0.15,0.07,0,7500,100,125,0,0.0133
Kopi Hitam Tanpa Gula,Olahan/Brand,2,0.28,0.28,0.09,0.05,0,0,0,0.09,0.47,0.03,0.07,0,714.29,100,17.86,0,0.14
Coca Cola,Traditional,136,0.26,0.26,35.18,0.07,0,0,0,6.33,0.43,10.82,0.1,0,52307.69,100,26.92,0,0.0019
Cuka,Traditional,21,0.3,0.1,5,0.1,0,21,0,0.98,0.17,1.54,0.15,1.4,7000,33.33,33.33,7000,0.0048
Kelapa Mudaair Segar,Traditional,17,0.4,0.2,3.8,0.1,0,1,0,0.79,0.33,1.17,0.15,0.07,4250,50,25,250,0.0118
Papeda,Traditional,61,0.1,0.2,14.9,0.1,0,4,0.5,2.84,0.33,4.58,0.15,0.27,61000,200,100,4000,0.0115
Ketimun Madura Segar,Traditional,9,0.4,0.5,1.9,0.1,0,2,0.7,0.42,0.83,0.58,0.15,0.13,2250,125,25,500,0.1333
Salak Bali,Traditional,57,0.7,0.5,13.6,0.1,0,0,1.3,2.65,0.83,4.18,0.15,0,8142.86,71.43,14.29,0,0.0316
Pepare Ular Segar,Traditional,19,0.3,0.6,3.9,0.1,0,130,1,0.88,1,1.2,0.15,8.67,6333.33,200,33.33,43333.33,0.0842
Labu Siam Segar,Traditional,30,0.3,0.6,6.7,0.1,0,3,6.2,1.4,1,2.06,0.15,0.2,10000,200,33.33,1000,0.2267
Gandaria Masak Segar,Traditional,68,0.4,0.7,18,0.1,0,3,2.2,3.16,1.17,5.54,0.15,0.2,17000,175,25,750,0.0426
Rambutan,Traditional,69,0.4,0.9,18.1,0.1,0,16,0.8,3.21,1.5,5.57,0.15,1.07,17250,225,25,4000,0.0246
Lobak Segar,Traditional,21,0.7,0.9,4.2,0.1,0,49,1.4,0.98,1.5,1.29,0.15,3.27,3000,128.57,14.29,7000,0.1095
Daun Oyong Segar,Traditional,22,0.6,1,5.3,0.1,0,40,0,1.02,1.67,1.63,0.15,2.67,3666.67,166.67,16.67,6666.67,0.0455
Sawi Putih / Pecai Segar,Traditional,9,0.6,1,1.7,0.1,0,5,0.8,0.42,1.67,0.52,0.15,0.33,1500,166.67,16.67,833.33,0.2
Kedongdong Masak Segar,Traditional,46,0.6,1,10.3,0.1,0,2,2.6,2.14,1.67,3.17,0.15,0.13,7666.67,166.67,16.67,333.33,0.0783
Batatas Kelapa Ubi Segar,Traditional,89,0.7,1.1,21,0.1,0,20,4,4.14,1.83,6.46,0.15,1.33,12714.29,157.14,14.29,2857.14,0.0573
Labu Waluh Segar,Traditional,32,1,1.1,6.6,0.1,0,1,0.5,1.49,1.83,2.03,0.15,0.07,3200,110,10,100,0.05
